,user_id,rec
0,1,"[880007, 976335, 15800711, 13877012, 12330539]"
1,2,"[1006474, 960791, 988044, 820291, 1037965]"
2,3,"[1080155, 1096727, 13095461, 13213518, 15452812]"
3,6,"[956902, 12757544, 15863530, 17903110, 976978]"
4,7,"[848609, 18055204, 16809431, 10285119, 5995491]"
5,8,"[846334, 992192, 15452231, 13115701, 12695809]"
6,9,"[1056005, 889692, 911140, 918046, 995242]"
7,10,"[1043766, 1068504, 1108940, 6034222, 962118]"
8,13,"[6534178, 13115579, 5978648, 14025593, 1015280]"
9,14,"[981760, 13876901, 12524190, 967757, 969846]"
10,15,"[966014, 10341697, 839326, 1130729, 1070820]"
11,16,"[9677923, 12263788]"
12,18,"[886291, 9677886, 12263409, 897098, 825118]"
13,19,"[6632589, 868909, 1042628, 1039612, 1033707]"
14,20,"[821556, 1045966, 6534178, 1045966, 15629778]"
15,21,"[937725, 903513, 14025503, 8205673, 1072483]"
16,22,"[881047, 859427, 970710, 836952, 870424]"
17,23,"[957411, 913038, 927027, 7441271, 17179425]"
18,24,"[9835619, 844462, 1083461, 1013868, 873474]"
19,25,"[6534178, 983665, 9487421, 1014932, 904574]"
20,26,"[871061, 955399, 1130877, 982757, 1028422]"
21,27,"[1014388, 963686, 1014388, 881529, 15927661]"
22,28,"[5995303, 897493, 6979415, 1033814, 1005493]"
23,29,"[1120134, 13157800]"
24,30,[995242]
25,31,"[981760, 6534178, 1094767, 9526100, 9445760]"
26,32,"[981760, 834102, 955897, 13671963, 9677280]"
27,33,"[835236, 1065835, 5592094, 5590695, 5572738]"
28,34,"[1017221, 839262, 893851, 1042628, 9526886]"
29,35,[1053690]
30,36,"[913144, 865233, 912451, 1084310, 970714]"
31,37,"[990014, 1014458, 1026086, 1078176, 953104]"
32,39,"[957164, 903123, 923789, 971807, 992985]"
33,40,"[12731518, 14050428, 968269, 1000228, 884987]"
34,41,"[843418, 902238, 1087754, 5565784, 7168233]"
35,42,"[981760, 905986, 882941, 865510, 1112766]"
36,43,"[821787, 1029174, 838319, 1074933, 14050446]"
37,46,"[980860, 1075275, 6463752, 981660, 988202]"
38,47,"[16035203, 6553438, 890143, 12330376, 907308]"
39,49,"[1108854, 990256, 1093697, 1103691, 837602]"
40,50,"[833245, 6633224, 1022322, 835058, 1046191]"
41,51,"[981760, 867469, 887661, 985185, 7410344]"
42,52,"[889223, 6602493, 1056740, 1056672, 9677931]"
43,53,"[859427, 820291, 919922, 825882, 6632447]"
44,55,"[7409790, 13007355, 13006953, 8249513, 8205252]"
45,56,"[974617, 891415, 909685, 892978, 881857]"
46,57,"[943088, 947147, 1038144, 6772937, 7115533]"
47,58,"[1033845, 13511555, 12352204, 10311767, 1081944]"
48,59,"[909338, 6534178, 850961, 10457471, 10355865]"
49,62,"[51220, 197681, 201704, 242044, 257951]"
50,63,"[892144, 937371, 7431408, 937371, 970619]"
51,64,"[7147142, 1036699, 7152455, 985579, 978965]"
52,65,"[12781564, 7149908, 7168286, 1118281, 905542]"
53,67,"[15717047, 10122037, 5978648, 925624, 963228]"
54,68,"[981760, 890749, 15629846, 901460, 9677748]"
55,69,"[981760, 9835408, 979452, 1091365, 848329]"
56,70,[1039156]
57,71,"[1008288, 902304, 9483647, 8118675, 6553398]"
58,72,[6534178]
59,75,"[626178, 700242, 783480, 801564, 5557467]"
